Health,Mana/Resource,Move Speed,Armor,Magic Resistance,Attack Range,HP Regeneration,Critical Strike,Attack Damage,Attack Speed,Ability Haste
900,0,340,33,32,125,7,0,100,0.62,25
993,0,340,37,33,125,8,0,104,0.64,25
1086,0,340,41,35,125,8,0,108,0.65,25
1179,0,340,45,36,125,9,0,112,0.66,25
1272,0,340,49,37,125,9,0,116,0.67,25
1365,0,340,53,38,125,10,0,120,0.68,25
1458,0,340,57,40,125,10,0,124,0.69,25
1551,0,340,61,41,125,11,0,128,0.7,25
1644,0,340,65,42,125,11,0,132,0.71,25
1737,0,340,69,43,125,12,0,136,0.72,25
1830,0,340,73,45,125,12,0,140,0.73,25
1923,0,340,77,46,125,13,0,144,0.75,25
2016,0,340,81,47,125,13,0,148,0.76,25
2109,0,340,85,48,125,14,0,152,0.77,25
2202,0,340,89,50,125,14,0,156,0.78,25
2295,0,340,93,51,125,15,0,160,0.79,25
2388,0,340,97,52,125,15,0,164,0.8,25
2481,0,340,101,53,125,16,0,168,0.81,25
