Health,Mana/Resource,Move Speed,Armor,Magic Resistance,Attack Range,HP Regeneration,Critical Strike,Attack Damage,Attack Speed
900,0,340,33,32,125,7,0,100,0.62
993,0,340,37,33,125,8,0,104,0.63
1086,0,340,41,35,125,8,0,108,0.64
1179,0,340,45,36,125,9,0,112,0.65
1272,0,340,49,37,125,9,0,116,0.66
1365,0,340,53,38,125,10,0,120,0.67
1458,0,340,57,40,125,10,0,124,0.69
1551,0,340,61,41,125,11,0,128,0.7
1644,0,340,65,42,125,11,0,132,0.71
1737,0,340,69,43,125,12,0,136,0.72
1830,0,340,73,45,125,12,0,140,0.73
1923,0,340,77,46,125,13,0,144,0.74
2016,0,340,81,47,125,13,0,148,0.75
2109,0,340,85,48,125,14,0,152,0.76
2202,0,340,89,50,125,14,0,156,0.77
2295,0,340,93,51,125,15,0,160,0.78
2388,0,340,97,52,125,15,0,164,0.79
2481,0,340,101,53,125,16,0,168,0.8
