Health,Mana/Resource,Move Speed,Armor,Magic Resistance,Attack Range,HP Regeneration,Critical Strike,Attack Damage,Attack Speed
600,0,340,33,32,125,7,0,60,0.62
693,0,340,37,33,125,8,0,64,0.63
786,0,340,41,35,125,8,0,68,0.64
879,0,340,45,36,125,9,0,72,0.65
972,0,340,49,37,125,9,0,76,0.66
1065,0,340,53,38,125,10,0,80,0.67
1158,0,340,57,40,125,10,0,84,0.69
1251,0,340,61,41,125,11,0,88,0.7
1344,0,340,65,42,125,11,0,92,0.71
1437,0,340,69,43,125,12,0,96,0.72
1530,0,340,73,45,125,12,0,100,0.73
1623,0,340,77,46,125,13,0,104,0.74
1716,0,340,81,47,125,13,0,108,0.75
1809,0,340,85,48,125,14,0,112,0.76
1902,0,340,89,50,125,14,0,116,0.77
1995,0,340,93,51,125,15,0,120,0.78
2088,0,340,97,52,125,15,0,124,0.79
2181,0,340,101,53,125,16,0,128,0.8
